Please answer if you want to remove mem.log:
rm: remove regular file 'mem.log'? Starting server. Will Monitor and restart the server if crashes...
time="2020-02-16T22:38:50-06:00" level=info msg="starting server on port 10000..."
time="2020-02-16T22:38:50-06:00" level=info msg="Found log file, restoring cache from mem.log"
time="2020-02-16T22:38:50-06:00" level=info msg="done recovering from mem.log, read 0 lines, results in 0 valid entries."
time="2020-02-16T22:38:50-06:00" level=info msg="server started on time: 2020-02-16 22:38:50.519195643 -0600 CST m=+0.002990538"
time="2020-02-16T22:39:00-06:00" level=debug msg="gets done 0, sets done 0, prefix done 0"
time="2020-02-16T22:39:10-06:00" level=debug msg="gets done 0, sets done 0, prefix done 0"
time="2020-02-16T22:39:20-06:00" level=debug msg="gets done 0, sets done 0, prefix done 0"
time="2020-02-16T22:39:30-06:00" level=debug msg="gets done 0, sets done 0, prefix done 0"
time="2020-02-16T22:39:40-06:00" level=debug msg="gets done 0, sets done 0, prefix done 0"
time="2020-02-16T22:39:50-06:00" level=debug msg="gets done 0, sets done 32, prefix done 0"
time="2020-02-16T22:40:00-06:00" level=debug msg="gets done 0, sets done 49, prefix done 0"
time="2020-02-16T22:40:10-06:00" level=debug msg="gets done 0, sets done 64, prefix done 0"
time="2020-02-16T22:40:20-06:00" level=debug msg="gets done 0, sets done 96, prefix done 0"
time="2020-02-16T22:40:30-06:00" level=debug msg="gets done 0, sets done 128, prefix done 0"
time="2020-02-16T22:40:40-06:00" level=debug msg="gets done 0, sets done 160, prefix done 0"
time="2020-02-16T22:40:50-06:00" level=debug msg="gets done 0, sets done 192, prefix done 0"
time="2020-02-16T22:41:00-06:00" level=debug msg="gets done 0, sets done 224, prefix done 0"
time="2020-02-16T22:41:10-06:00" level=debug msg="gets done 0, sets done 256, prefix done 0"
time="2020-02-16T22:41:20-06:00" level=debug msg="gets done 0, sets done 279, prefix done 0"
time="2020-02-16T22:41:30-06:00" level=debug msg="gets done 0, sets done 293, prefix done 0"
time="2020-02-16T22:41:40-06:00" level=debug msg="gets done 0, sets done 323, prefix done 0"
time="2020-02-16T22:41:50-06:00" level=debug msg="gets done 0, sets done 353, prefix done 0"
time="2020-02-16T22:42:00-06:00" level=debug msg="gets done 0, sets done 384, prefix done 0"
time="2020-02-16T22:42:10-06:00" level=debug msg="gets done 0, sets done 416, prefix done 0"
time="2020-02-16T22:42:20-06:00" level=debug msg="gets done 0, sets done 448, prefix done 0"
time="2020-02-16T22:42:30-06:00" level=debug msg="gets done 0, sets done 480, prefix done 0"
time="2020-02-16T22:42:40-06:00" level=debug msg="gets done 0, sets done 505, prefix done 0"
time="2020-02-16T22:42:50-06:00" level=debug msg="gets done 0, sets done 523, prefix done 0"
time="2020-02-16T22:43:00-06:00" level=debug msg="gets done 0, sets done 546, prefix done 0"
time="2020-02-16T22:43:10-06:00" level=debug msg="gets done 0, sets done 577, prefix done 0"
time="2020-02-16T22:43:20-06:00" level=debug msg="gets done 0, sets done 609, prefix done 0"
time="2020-02-16T22:43:30-06:00" level=debug msg="gets done 0, sets done 640, prefix done 0"
time="2020-02-16T22:43:40-06:00" level=debug msg="gets done 0, sets done 672, prefix done 0"
time="2020-02-16T22:43:50-06:00" level=debug msg="gets done 0, sets done 701, prefix done 0"
time="2020-02-16T22:44:00-06:00" level=debug msg="gets done 0, sets done 715, prefix done 0"
time="2020-02-16T22:44:10-06:00" level=debug msg="gets done 0, sets done 740, prefix done 0"
time="2020-02-16T22:44:20-06:00" level=debug msg="gets done 0, sets done 769, prefix done 0"
time="2020-02-16T22:44:30-06:00" level=debug msg="gets done 0, sets done 800, prefix done 0"
time="2020-02-16T22:44:40-06:00" level=debug msg="gets done 0, sets done 832, prefix done 0"
time="2020-02-16T22:44:50-06:00" level=debug msg="gets done 0, sets done 864, prefix done 0"
time="2020-02-16T22:45:00-06:00" level=debug msg="gets done 0, sets done 885, prefix done 0"
time="2020-02-16T22:45:10-06:00" level=debug msg="gets done 0, sets done 916, prefix done 0"
time="2020-02-16T22:45:20-06:00" level=debug msg="gets done 0, sets done 938, prefix done 0"
time="2020-02-16T22:45:30-06:00" level=debug msg="gets done 0, sets done 964, prefix done 0"
time="2020-02-16T22:45:40-06:00" level=debug msg="gets done 0, sets done 993, prefix done 0"
time="2020-02-16T22:45:50-06:00" level=debug msg="gets done 570, sets done 1024, prefix done 0"
time="2020-02-16T22:46:00-06:00" level=debug msg="gets done 1660, sets done 1024, prefix done 0"
time="2020-02-16T22:46:10-06:00" level=debug msg="gets done 2911, sets done 1024, prefix done 0"
time="2020-02-16T22:46:20-06:00" level=debug msg="gets done 4088, sets done 1024, prefix done 0"
time="2020-02-16T22:46:30-06:00" level=debug msg="gets done 5297, sets done 1024, prefix done 0"
time="2020-02-16T22:46:40-06:00" level=debug msg="gets done 6557, sets done 1024, prefix done 0"
time="2020-02-16T22:46:50-06:00" level=debug msg="gets done 7716, sets done 1024, prefix done 0"
time="2020-02-16T22:47:00-06:00" level=debug msg="gets done 8994, sets done 1024, prefix done 0"
