Please answer if you want to remove mem.log:
rm: remove regular file 'mem.log'? Starting server. Will Monitor and restart the server if crashes...
time="2020-02-16T23:31:39-06:00" level=info msg="starting server on port 10000..."
time="2020-02-16T23:31:39-06:00" level=info msg="Found log file, restoring cache from mem.log"
time="2020-02-16T23:31:49-06:00" level=info msg="done recovering from mem.log, read 256 lines, results in 256 valid entries."
time="2020-02-16T23:31:49-06:00" level=info msg="server started on time: 2020-02-16 23:31:49.713464711 -0600 CST m=+10.294306617"
time="2020-02-16T23:31:59-06:00" level=debug msg="gets done 0, sets done 0, prefix done 0"
time="2020-02-16T23:32:09-06:00" level=debug msg="gets done 58, sets done 0, prefix done 0"
time="2020-02-16T23:32:19-06:00" level=debug msg="gets done 384, sets done 0, prefix done 0"
time="2020-02-16T23:32:29-06:00" level=debug msg="gets done 713, sets done 0, prefix done 0"
time="2020-02-16T23:32:39-06:00" level=debug msg="gets done 1032, sets done 0, prefix done 0"
time="2020-02-16T23:32:49-06:00" level=debug msg="gets done 1369, sets done 0, prefix done 0"
time="2020-02-16T23:32:59-06:00" level=debug msg="gets done 1720, sets done 0, prefix done 0"
time="2020-02-16T23:33:09-06:00" level=debug msg="gets done 2049, sets done 0, prefix done 0"
time="2020-02-16T23:33:19-06:00" level=debug msg="gets done 2384, sets done 0, prefix done 0"
time="2020-02-16T23:33:29-06:00" level=debug msg="gets done 2708, sets done 0, prefix done 0"
time="2020-02-16T23:33:39-06:00" level=debug msg="gets done 3039, sets done 0, prefix done 0"
time="2020-02-16T23:33:49-06:00" level=debug msg="gets done 3363, sets done 0, prefix done 0"
time="2020-02-16T23:33:59-06:00" level=debug msg="gets done 3690, sets done 0, prefix done 0"
time="2020-02-16T23:34:09-06:00" level=debug msg="gets done 4015, sets done 0, prefix done 0"
time="2020-02-16T23:34:19-06:00" level=debug msg="gets done 4352, sets done 0, prefix done 0"
time="2020-02-16T23:34:29-06:00" level=debug msg="gets done 4698, sets done 0, prefix done 0"
time="2020-02-16T23:34:39-06:00" level=debug msg="gets done 5029, sets done 0, prefix done 0"
time="2020-02-16T23:34:49-06:00" level=debug msg="gets done 5350, sets done 0, prefix done 0"
time="2020-02-16T23:34:59-06:00" level=debug msg="gets done 5673, sets done 0, prefix done 0"
time="2020-02-16T23:35:09-06:00" level=debug msg="gets done 5952, sets done 2, prefix done 0"
time="2020-02-16T23:35:19-06:00" level=debug msg="gets done 5993, sets done 36, prefix done 0"
time="2020-02-16T23:35:29-06:00" level=debug msg="gets done 6025, sets done 71, prefix done 0"
time="2020-02-16T23:35:39-06:00" level=debug msg="gets done 6060, sets done 106, prefix done 0"
time="2020-02-16T23:35:49-06:00" level=debug msg="gets done 6102, sets done 139, prefix done 0"
time="2020-02-16T23:35:59-06:00" level=debug msg="gets done 6135, sets done 173, prefix done 0"
time="2020-02-16T23:36:09-06:00" level=debug msg="gets done 6167, sets done 208, prefix done 0"
time="2020-02-16T23:36:19-06:00" level=debug msg="gets done 6205, sets done 242, prefix done 0"
time="2020-02-16T23:36:29-06:00" level=debug msg="gets done 6239, sets done 276, prefix done 0"
time="2020-02-16T23:36:39-06:00" level=debug msg="gets done 6286, sets done 309, prefix done 0"
time="2020-02-16T23:36:49-06:00" level=debug msg="gets done 6311, sets done 345, prefix done 0"
time="2020-02-16T23:36:59-06:00" level=debug msg="gets done 6346, sets done 379, prefix done 0"
time="2020-02-16T23:37:09-06:00" level=debug msg="gets done 6377, sets done 414, prefix done 0"
time="2020-02-16T23:37:19-06:00" level=debug msg="gets done 6417, sets done 449, prefix done 0"
time="2020-02-16T23:37:29-06:00" level=debug msg="gets done 6448, sets done 484, prefix done 0"
time="2020-02-16T23:37:39-06:00" level=debug msg="gets done 6485, sets done 518, prefix done 0"
time="2020-02-16T23:37:49-06:00" level=debug msg="gets done 6518, sets done 553, prefix done 0"
time="2020-02-16T23:37:59-06:00" level=debug msg="gets done 6549, sets done 587, prefix done 0"
time="2020-02-16T23:38:09-06:00" level=debug msg="gets done 6579, sets done 622, prefix done 0"
time="2020-02-16T23:38:19-06:00" level=debug msg="gets done 6579, sets done 622, prefix done 0"
