Please answer if you want to remove mem.log:
rm: remove regular file 'mem.log'? Starting server. Will Monitor and restart the server if crashes...
time="2020-02-17T01:20:54-06:00" level=info msg="starting server on port 10000..."
time="2020-02-17T01:20:54-06:00" level=info msg="Found log file, restoring cache from mem.log"
time="2020-02-17T01:21:33-06:00" level=info msg="done recovering from mem.log, read 1048576 lines, results in 1048576 valid entries."
time="2020-02-17T01:21:33-06:00" level=info msg="server started on time: 2020-02-17 01:21:33.895885227 -0600 CST m=+39.745080688"
time="2020-02-17T01:21:43-06:00" level=debug msg="gets done 588560, sets done 0, prefix done 0"
time="2020-02-17T01:21:53-06:00" level=debug msg="gets done 1470874, sets done 0, prefix done 0"
time="2020-02-17T01:22:03-06:00" level=debug msg="gets done 2365283, sets done 0, prefix done 0"
time="2020-02-17T01:22:13-06:00" level=debug msg="gets done 3272098, sets done 0, prefix done 0"
time="2020-02-17T01:22:23-06:00" level=debug msg="gets done 4151921, sets done 0, prefix done 0"
time="2020-02-17T01:22:33-06:00" level=debug msg="gets done 5055915, sets done 0, prefix done 0"
time="2020-02-17T01:22:43-06:00" level=debug msg="gets done 5959071, sets done 0, prefix done 0"
time="2020-02-17T01:22:53-06:00" level=debug msg="gets done 6867186, sets done 0, prefix done 0"
time="2020-02-17T01:23:03-06:00" level=debug msg="gets done 7767489, sets done 0, prefix done 0"
time="2020-02-17T01:23:13-06:00" level=debug msg="gets done 8672298, sets done 0, prefix done 0"
time="2020-02-17T01:23:23-06:00" level=debug msg="gets done 9572673, sets done 0, prefix done 0"
time="2020-02-17T01:23:33-06:00" level=debug msg="gets done 10477262, sets done 0, prefix done 0"
time="2020-02-17T01:23:43-06:00" level=debug msg="gets done 11379112, sets done 0, prefix done 0"
time="2020-02-17T01:23:53-06:00" level=debug msg="gets done 12279730, sets done 0, prefix done 0"
time="2020-02-17T01:24:03-06:00" level=debug msg="gets done 13187089, sets done 0, prefix done 0"
time="2020-02-17T01:24:13-06:00" level=debug msg="gets done 14089074, sets done 0, prefix done 0"
time="2020-02-17T01:24:23-06:00" level=debug msg="gets done 14989488, sets done 0, prefix done 0"
time="2020-02-17T01:24:33-06:00" level=debug msg="gets done 15892530, sets done 0, prefix done 0"
time="2020-02-17T01:24:43-06:00" level=debug msg="gets done 16187278, sets done 6847, prefix done 0"
time="2020-02-17T01:24:53-06:00" level=debug msg="gets done 16199929, sets done 18845, prefix done 0"
time="2020-02-17T01:25:03-06:00" level=debug msg="gets done 16212262, sets done 30636, prefix done 0"
time="2020-02-17T01:25:13-06:00" level=debug msg="gets done 16224042, sets done 42531, prefix done 0"
