Please answer if you want to remove mem.log:
rm: remove regular file 'mem.log'? Starting server. Will Monitor and restart the server if crashes...
time="2020-02-17T02:18:51-06:00" level=info msg="starting server on port 10000..."
time="2020-02-17T02:18:51-06:00" level=info msg="Found log file, restoring cache from mem.log"
time="2020-02-17T02:19:30-06:00" level=info msg="done recovering from mem.log, read 1048576 lines, results in 1048576 valid entries."
time="2020-02-17T02:19:30-06:00" level=info msg="server started on time: 2020-02-17 02:19:30.303742559 -0600 CST m=+39.165680206"
time="2020-02-17T02:19:40-06:00" level=debug msg="gets done 1097443, sets done 0, prefix done 0"
time="2020-02-17T02:19:50-06:00" level=debug msg="gets done 2606965, sets done 0, prefix done 0"
time="2020-02-17T02:20:00-06:00" level=debug msg="gets done 4130609, sets done 0, prefix done 0"
time="2020-02-17T02:20:10-06:00" level=debug msg="gets done 5642926, sets done 0, prefix done 0"
time="2020-02-17T02:20:20-06:00" level=debug msg="gets done 7182012, sets done 0, prefix done 0"
time="2020-02-17T02:20:30-06:00" level=debug msg="gets done 8713872, sets done 0, prefix done 0"
time="2020-02-17T02:20:40-06:00" level=debug msg="gets done 10247166, sets done 0, prefix done 0"
time="2020-02-17T02:20:50-06:00" level=debug msg="gets done 11773366, sets done 0, prefix done 0"
time="2020-02-17T02:21:00-06:00" level=debug msg="gets done 13295305, sets done 0, prefix done 0"
time="2020-02-17T02:21:10-06:00" level=debug msg="gets done 14832423, sets done 0, prefix done 0"
time="2020-02-17T02:21:20-06:00" level=debug msg="gets done 16357707, sets done 0, prefix done 0"
time="2020-02-17T02:21:30-06:00" level=debug msg="gets done 17881898, sets done 0, prefix done 0"
time="2020-02-17T02:21:40-06:00" level=debug msg="gets done 19408290, sets done 0, prefix done 0"
time="2020-02-17T02:21:50-06:00" level=debug msg="gets done 20936959, sets done 0, prefix done 0"
time="2020-02-17T02:22:00-06:00" level=debug msg="gets done 22465646, sets done 0, prefix done 0"
time="2020-02-17T02:22:10-06:00" level=debug msg="gets done 23991948, sets done 0, prefix done 0"
time="2020-02-17T02:22:20-06:00" level=debug msg="gets done 25514668, sets done 0, prefix done 0"
time="2020-02-17T02:22:30-06:00" level=debug msg="gets done 27033140, sets done 0, prefix done 0"
time="2020-02-17T02:22:40-06:00" level=debug msg="gets done 27665864, sets done 18125, prefix done 0"
time="2020-02-17T02:22:50-06:00" level=debug msg="gets done 27707994, sets done 66450, prefix done 0"
time="2020-02-17T02:23:00-06:00" level=debug msg="gets done 27756272, sets done 114279, prefix done 0"
time="2020-02-17T02:23:10-06:00" level=debug msg="gets done 27806146, sets done 160287, prefix done 0"
time="2020-02-17T02:23:20-06:00" level=debug msg="gets done 27856058, sets done 208644, prefix done 0"
time="2020-02-17T02:23:30-06:00" level=debug msg="gets done 27896215, sets done 257961, prefix done 0"
time="2020-02-17T02:23:40-06:00" level=debug msg="gets done 27954522, sets done 303725, prefix done 0"
time="2020-02-17T02:23:50-06:00" level=debug msg="gets done 28002664, sets done 352418, prefix done 0"
time="2020-02-17T02:24:00-06:00" level=debug msg="gets done 28053570, sets done 398795, prefix done 0"
time="2020-02-17T02:24:10-06:00" level=debug msg="gets done 28105846, sets done 447457, prefix done 0"
time="2020-02-17T02:24:20-06:00" level=debug msg="gets done 28154834, sets done 496349, prefix done 0"
time="2020-02-17T02:24:30-06:00" level=debug msg="gets done 28197260, sets done 542310, prefix done 0"
time="2020-02-17T02:24:40-06:00" level=debug msg="gets done 28241947, sets done 592483, prefix done 0"
time="2020-02-17T02:24:50-06:00" level=debug msg="gets done 28292153, sets done 641464, prefix done 0"
time="2020-02-17T02:25:00-06:00" level=debug msg="gets done 28343867, sets done 688266, prefix done 0"
time="2020-02-17T02:25:10-06:00" level=debug msg="gets done 28396289, sets done 737345, prefix done 0"
time="2020-02-17T02:25:20-06:00" level=debug msg="gets done 28451807, sets done 785592, prefix done 0"
time="2020-02-17T02:25:30-06:00" level=debug msg="gets done 28508013, sets done 830966, prefix done 0"
time="2020-02-17T02:25:40-06:00" level=debug msg="gets done 28539599, sets done 860063, prefix done 0"
time="2020-02-17T02:25:50-06:00" level=debug msg="gets done 28539599, sets done 860063, prefix done 0"
time="2020-02-17T02:26:00-06:00" level=debug msg="gets done 28539599, sets done 860063, prefix done 0"
time="2020-02-17T02:26:10-06:00" level=debug msg="gets done 28539599, sets done 860063, prefix done 0"
time="2020-02-17T02:26:20-06:00" level=debug msg="gets done 28539599, sets done 860063, prefix done 0"
time="2020-02-17T02:26:30-06:00" level=debug msg="gets done 28539599, sets done 860063, prefix done 0"
time="2020-02-17T02:26:40-06:00" level=debug msg="gets done 28539599, sets done 860063, prefix done 0"
time="2020-02-17T02:26:50-06:00" level=debug msg="gets done 28539599, sets done 860063, prefix done 0"
time="2020-02-17T02:27:00-06:00" level=debug msg="gets done 28539599, sets done 860063, prefix done 0"
